,,,,,Product List,,,,,,,,
1661,,,"dabi machine screw 3/16""x1""",,,,1,,245,,,450,
1662,,,"check valve 1""(al-mughal)",,,,1,,775,,,1250,
1663,,,capacitor 80-110 starting,,,,1,,70,,,350,
1664,,,capacitor 138-182 starting,,,,1,,150,,,400,
1698,,,termite 250ml fighter,,,,1,,120,,,450,
1699,,,"gi mf elbow 1-1/4""",,,,1,,501,,,600,
1700,,,ceiling holder plastic,,,,1,,60,,,100,
1701,,,dori sootar (medium),,,,1,,77,,,250,
1702,,,termite 500ml fighter,,,,1,,220,,,750,
1703,,,"RAQY floay valve 3/4""",,,,1,,1250,,,2500,
1704,,,termite 1000ml fighter,,,,1,,390,,,1200,
1705,,,shisha qalam,,,,1,,160,,,250,
1706,,,termite gallon fighter,,,,1,,1500,,,4000,
1707,,,silicone bottle (GH-1200),,,,1,,340,,,400,
1708,,,"lcd bracket 14 + 42""",,,,1,,380,,,700,
1709,,,"lcd bracket 40+55"" big",,,,1,,580,,,1200,
1710,,,thermostate unitrol,,,,1,,3750,,,4500,
1711,,,2 pin shoe (N),,,,1,,33.333,,,60,
1712,,,l key set pride small,,,,1,,470,,,650,
1713,,,ferry light 30 feet flasher,,,,1,,450,,,750,
1714,,,wiper pocha (H),,,,1,,450,,,650,
1715,,,missile capacitor 30uf,,,,1,,410,,,700,
1716,,,"disc 4"" zdn",,,,1,,300,,,600,
1717,,,"disc 5"" zdn",,,,1,,450,,,700,
1718,,,missile capacitor 35uf,,,,1,,410,,,750,
1719,,,"disc masala 9"" hambo",,,,1,,200,,,350,
1720,,,handle lock (M),,,,1,,1350,,,1850,
1721,,,electric heater blower,,,,1,,2400,,,3700,
1722,,,ac capacitor 55uf,,,,1,,680,,,1000,
1723,,,ac capacitor 60uf,,,,1,,700,,,1150,
1724,,,missile capacitor 40uf,,,,1,,430,,,800,
1725,,,missile capacitor 45uf,,,,1,,450,,,850,
1726,,,missile capacitor 50uf,,,,1,,480,,,900,
1727,,,missile capacitor 60uf,,,,1,,580,,,950,
1728,,,missile capacitor 70uf,,,,1,,650,,,1200,
1729,,,uniqe flush tank golden,,,,1,,775,,,2000,
1730,,,"level 18""",,,,1,,600,,,850,
1731,,,"Hose pipe 3/4"" (accufit) 3 mm",,,,1,,46,,,65,
1732,,,"flexible pipe 1"" feet",,,,1,,13.33,,,30,
1733,,,extention millat,,,,1,,250,,,480,
1734,,,"dabi machine screw 3/16""x1-1/4""",,,,1,,312,,,600,
1735,,,handle lock (H),,,,1,,2250,,,3500,
1736,,,"dabi screw 1-1/4""x 6",,,,1,,160,,,220,
1737,,,"dabi 2-1/2""x 8",,,,1,,395,,,490,
1738,,,timer 6-7 wire,,,,1,,400,,,600,
1739,,,"dabi machine screw 3/16""x1-1/2""",,,,1,,352,,,650,
1740,,,waste pipe double nut,,,,1,,200,,,450,
1741,,,"union washer 3/4""",,,,1,,20,,,50,
1742,,,cat-6 conector,,,,1,,5,,,20,
1743,,,"jet shower 8""(diamond) ss",,,,1,,650,,,1200,
1744,,,rg-6+7 nut,,,,1,,4,,,10,
1745,,,"union washer 1""",,,,1,,30,,,60,
1746,,,tel tee+pin,,,,1,,15,,,50,
1747,,,non uniqe 1+1,,,,1,,171,,,390,
1748,,,non uniqe 2g,,,,1,,171,,,350,
1749,,,non uniqe bell push single,,,,1,,190,,,450,
1750,,,non uniqe bell push double,,,,1,,310,,,490,
1751,,,non uniqe LP+USB,,,,1,,528,,,1150,
1752,,,naflo thimble,,,,1,,315,,,650,
1753,,,ABS sink mixer ,,,,1,,1050,,,1600,
1754,,,"tanki bush 1""x 3/4""",,,,1,,140,,,350,
1755,,,"tanki bush 1-1/4""x 1""",,,,1,,270,,,480,
1756,,,goda pair (brass),,,,1,,360,,,580,
1757,,,LPG regulator 20+21+22,,,,1,,400,,,500,
1758,,,solar light 1 bulb,,,,1,,700,,,1000,
1759,,,"ball valve 1/2"" LA-58",,,,1,,400,,,590,
1760,,,"ball valve 1"" LA-58",,,,1,,750,,,1100,
1286,,,tee cock master ,,,,1,,630,,,1000,
1287,,,"jet showet 8""x 8"" steel",,,,1,,690,,,1500,
1288,,,"jet shower 6""(diamond) ss",,,,1,,470,,,800,
1289,,,"l koni 3"" N",,,,1,,12,,,30,
1290,,,kashti clamp,,,,1,,60,,,100,
1291,,,"bell cover 3"" (china)",,,,1,,190,,,350,
1292,,,"gas nozle 3/4""",,,,1,,35,,,100,
1293,,,hand shower (china),,,,1,,900,,,1850,
1294,,,ABS basin mixer ,,,,1,,780,,,1250,
1295,,,fan sheet,,,,1,,32.5,,,50,
1296,,,hob steel gole,,,,1,,6500,,,8500,
1297,,,mirror plastic,,,,1,,450,,,1000,
1298,,,vanity mixer pull out,,,,1,,2900,,,6500,
1299,,,vanity mixer long (spring),,,,1,,8500,,,12000,
1300,,,flexible neck china (H),,,,1,,430,,,900,
1301,,,foam big,,,,1,,47.2222,,,80,
1302,,,cooker ruber (L),,,,1,,300,,,600,
1303,,,ABS side pilar cock ,,,,1,,430,,,800,
1304,,,shelf tray plastic,,,,1,,300,,,500,
1305,,,iron thermostat,,,,1,,50,,,150,
1306,,,extention small,,,,1,,120,,,280,
1307,,,hinges 6' feet ,,,,1,,300,,,380,
1308,,,itc bulb 5w,,,,1,,110,,,150,
1309,,,factor smd 7w (3 in 1),,,,1,,300,,,450,
1310,,,board plastic 4p,,,,1,,240,,,400,
1311,,,"packing tape 2"" (80 yrd.)",,,,,,240,,,550,
1312,,,conector strip 10amp,,,,1,,40,,,80,
1313,,,conector strip 15amp,,,,1,,82.5,,,150,
1314,,,conector strip 30amp,,,,1,,165,,,250,
1315,,,smd down light 15w adj.,,,,1,,420,,,600,
1316,,,ABS sink cock,,,,1,,410,,,700,
1317,,,guarden belcha,,,,1,,200,,,350,
1478,,,"earl draz 8"" (m)",,,,1,,275,,,480,
1479,,,khurpa (M),,,,1,,150,,,300,
1480,,,genti + dasta,,,,1,,800,,,1100,
1481,,,hamer steel,,,,,,340,,,500,
1482,,,"nail 2""x12",,,,1,,320,,,350,
1483,,,taghari,,,,1,,335,,,450,
1484,,,"hinges 2""",,,,1,,16,,,60,
1485,,,"hinges 4""",,,,1,,55,,,80,
1486,,,"hinges 5"" bearing (pair)",,,,1,,390,,,550,
1487,,,"door spring 6""",,,,1,,350,,,500,
1488,,,gate bush,,,,1,,95,,,150,
1489,,,"union washer 1-1/4""",,,,1,,50,,,80,
1490,,,kunda chapka,,,,1,,41,,,100,
1491,,,ABS bib cock,,,,1,,200,,,350,
1492,,,frame patri,,,,1,,8,,,30,
1493,,,samad bond (dabi),,,,1,,400,,,480,
1494,,,samad bond (Qtr.) 1000ml,,,,1,,850,,,1050,
1495,,,"digit 9"" golden",,,,1,,520,,,700,
1496,,,mashallah fancy (gold),,,,1,,4250,,,5500,
1497,,,ABS tee cock,,,,1,,210,,,350,
1498,,,door bell ding dong,,,,1,,290,,,480,
1499,,,coolar pump (25w) H,,,,1,,580,,,850,
1500,,,bracket fan sk,,,,1,,7250,,,9500,
1501,,,meter tape 16' (H),,,,1,,213.75,,,350,
1502,,,wood polish 250ml,,,,1,,200,,,400,
1503,,,ABS double bib cock,,,,1,,460,,,700,
1504,,,"smt disc stone disc 7""",,,,1,,290,,,350,
1505,,,emulsion galon (vinca),,,,1,,650,,,1200,
1506,,,wood polish 500ml,,,,1,,350,,,600,
1507,,,"bell cover 3""",,,,1,,60,,,150,
1508,,,"bell cover 6""",,,,1,,80,,,180,
1509,,,bottle trap cp (china),,,,1,,680,,,1300,
1761,,,"dabi screw 3""x 10 mt",,,,1,,683,,,850,
1762,,,"dabi screw 4""x 10 mt",,,,1,,830,,,1050,
1763,,,"LCD bracket 40"" & 65"" big",,,,1,,900,,,1800,
1764,,,"LCD bracket 50"" medium",,,,1,,370,,,900,
1765,,,impeler 1/2 hp,,,,1,,130,,,450,
1766,,,impeler 1 hp,,,,1,,430,,,700,
1767,,,ac remote universal,,,,1,,500,,,950,
1768,,,zeco smd down light 7w,,,,1,,165,,,250,
1769,,,element thermostate,,,,1,,650,,,1500,
1770,,,element 2000w,,,,1,,38,,,120,
1771,,,element 3000w,,,,1,,98,,,150,
1772,,,ferry light multi color,,,,1,,75,,,250,
1773,,,extention w/o wire opk,,,,1,,245,,,500,
1774,,,"flexible pipe2"" feet",,,,1,,23,,,50,
1775,,,element geyser 1500w italy,,,,1,,3000,,,4000,
1776,,,porta filter (H),,,,1,,380,,,800,
1777,,,dada bottle (special),,,,1,,1200,,,2000,
1778,,,spindal  half round,,,,1,,410,,,750,
1779,,,"pvc clean out 4""",,,,1,,235.04,,,300,
1780,,,"super master floor waste 6""",,,,1,,300,,,850,
1781,,,"pvc mf tee 3""",,,,1,,216.32,,,330,
1782,,,"pvc mf tee 4""",,,,1,,304.72,,,490,
1783,,,"pvc wall socket 3""",,,,1,,360,,,430,
1784,,,steel nail (20 No.),,,,1,,395,,,600,
1785,,,"jali exaust 8"" wood",,,,1,,350,,,450,
1786,,,"union washer 1-1/2""",,,,1,,60,,,120,
1787,,,"fan dimer 3"" matrix",,,,1,,800,,,1100,
1788,,,2 core 23/76 coper,,,,1,,30,,,80,
1789,,,dispensor button,,,,1,,40,,,100,
1790,,,tomzn breaker 63amp (4pole),,,,1,,2100,,,3500,
1791,,,saal,,,,1,,150,,,200,
1824,,,earthing rod,,,,1,,4400,,,7500,
1825,,,mosketo killer 6w,,,,1,,2150,,,3000,
1826,,,"IA safety valve 1"" (blue daba)",,,,1,,664.83,,,1250,
1827,,,km bell push,,,,1,,160,,,350,
1828,,,belt hook (pranda),,,,1,,180,,,350,
1829,,,sink mixer (N),,,,1,,1500,,,2500,
1830,,,"disc HRS 4""",,,,1,,450,,,650,
1831,,,"disc HRS 5""",,,,1,,650,,,800,
1832,,,faco silver pipe 1-1/4 meter,,,,1,,720,,,1350,
1833,,,faco kitchen hose,,,,1,,720,,,1500,
1834,,,"scraper 8""x4""",,,,1,,105,,,180,
1835,,,driver screw gutka,,,,1,,108.33,,,200,
1836,,,"driver screw 10""",,,,1,,275,,,500,
1837,,,shisha wiper,,,,1,,120,,,200,
1838,,,bottle trap brass,,,,1,,1550,,,3500,
1839,,,gas heater 444,,,,1,,3600,,,5500,
1840,,,db box breaker 013 con.,,,,,,1990,,,2800,
1841,,,wire brush golden,,,,1,,62,,,150,
1842,,,"warma 14 mm (hilti) 6""",,,,1,,150,,,250,
1843,,,"l rod 12""",,,,1,,340,,,450,
1844,,,solar light 02bulb,,,,1,,1050,,,1450,
1845,,,belt hook big crystal,,,,1,,110,,,250,
1846,,,regmar water proof,,,,1,,48,,,80,
1847,,,"nut bolt 1/4 x 3"" (galv.)",,,,1,,10,,,30,
1848,,,"tower bolt 4"" brass",,,,1,,240,,,350,
1849,,,door bell active,,,,1,,340,,,550,
1850,,,"TFE safety valve 1"" spell",,,,1,,1290,,,1890,
1851,,,solar light 03bulb,,,,1,,1350,,,1800,
1852,,,hi tech geyser 35g dual,,,,1,,31500,,,38000,
1853,,,multi light plug double time star,,,,1,,690,,,1050,
1854,,,dk smd 12w anda,,,,1,,220,,,400,
1855,,,car pump 12w,,,,1,,2300,,,3500,
2021,,,filter cone veitnam (set),,,,1,,750,,,1500,
2022,,,rawal plug daba white,,,,1,,75,,,200,
2023,,,rawal plug daba red,,,,1,,75,,,150,
2024,,,ali akber glue tube,,,,1,,270,,,550,
2025,,,extention wire,,,,1,,180,,,400,
2026,,,garden magic hose,,,,1,,1200,,,2500,
2027,,,gas heater 101,,,,1,,1050,,,1650,
2028,,,hob kenwood shisha,,,,1,,7800,,,10800,
2029,,,2 core 7/52,,,,1,,75,,,150,
2030,,,carbon bush (sewing machine),,,,1,,30,,,80,
2031,,,electric heater sun moving,,,,1,,2100,,,3200,
2032,,,gas heater 202,,,,1,,1650,,,2700,
2033,,,glue pkt. 200grm,,,,1,,100,,,200,
2034,,,bearing 607 ~ 629 Bearmax,,,,1,,140,,,200,
2035,,,bearing 6000,,,,1,,160,,,220,
2036,,,gas heater 666,,,,1,,2400,,,3800,
2037,,,gas heater rino 776,,,,1,,2200,,,3500,
2038,,,gas heater 404,,,,1,,1850,,,2850,
2039,,,"steel paya 2""",,,,1,,65,,,100,
2040,,,grip led bulb 12w,,,,1,,138,,,250,
2041,,,led tube 20w (double) 2 feet rock,,,,1,,720,,,1000,
2042,,,machine lock (big),,,,1,,950,,,1800,
2043,,,wm inlet nozle,,,,1,,175,,,350,
2044,,,welding glasses,,,,1,,70,,,120,
2045,,,"digits 8""",,,,1,,450,,,550,
2046,,,"digits 10""",,,,1,,500,,,600,
2047,,,pad lock 32mm gold,,,,1,,132,,,200,
2048,,,pad lock 38mm gold,,,,1,,166,,,250,
2049,,,pad lock 50mm gold,,,,1,,270.8,,,500,
2050,,,2 core 7/36 (coper),,,,1,,165,,,290,
2051,,,filter module,,,,1,,300,,,800,
2052,,,electric heater zeco,,,,1,,950,,,1600,
2053,,,electric heater seco+zeco,,,,1,,1300,,,2000,
2054,,,water filter jumbo slim,,,,1,,2800,,,5500,
2055,,,"mashallah 24""x 9""",,,,1,,1900,,,3000,
2056,,,bulb candle 60w,,,,1,,80,,,120,
2057,,,"crome pipe 1"" length",,,,1,,1300,,,1700,
2058,,,"crome pipe 1"" (loose)",,,,,,65,,,90,
2059,,,bearing 6001,,,,1,,170,,,250,
2060,,,bearing 6200,,,,1,,160,,,220,
2061,,,ac gas 410A,,,,1,,2365,,,3000,
2062,,,air coolat button 2way,,,,1,,50,,,150,
2063,,,"ktz ball valve 1""ss",,,,1,,750,,,1250,
2064,,,gloves heavy,,,,1,,165,,,200,
2065,,,hi tech geyser 15g elec.,,,,1,,14500,,,17500,
2066,,,bearing 6201,,,,1,,170,,,250,
2067,,,"nalka mixer 6"" choras",,,,1,,1625,,,3800,
2068,,,"mashalllah 30""x 12""",,,,1,,2900,,,3500,
2069,,,pad lock 63mm gold,,,,1,,375,,,550,
2070,,,battery 9volt,,,,1,,120,,,200,
2071,,,meter box (H),,,,1,,2800,,,3200,
2072,,,steel wire 10yrd,,,,1,,150,,,350,
2073,,,steel wire 15yrd,,,,1,,200,,,450,
2074,,,paint ruler,,,,1,,290,,,500,
2075,,,kerosine oil,,,,1,,350,,,350,
2076,,,bulb E-14,,,,1,,290,,,400,
2077,,,km 3pin light shoe,,,,1,,175,,,300,
2078,,,thermostate tesla,,,,1,,3530,,,5000,
2079,,,khunti double tape,,,,1,,100,,,250,
2080,,,nut # 6mm,,,,1,,2,,,10,
2081,,,nut # 8mm,,,,1,,3,,,10,
2082,,,nut # 10mm,,,,1,,4,,,10,
2083,,,flaper exaust fan,,,,1,,220,,,400,
2084,,,"earl draz10"" medium",,,,1,,280,,,550,
2085,,,"earl draz 10"" medium",,,,1,,280,,,550,
2148,,,"smt disc diamond 4""",,,,1,,715,,,850,
2149,,,"smt disc diamond 5""",,,,1,,1230,,,1380,
2150,,,"smt disc diamond 7""",,,,1,,1610,,,1800,
2151,,,"smt disc ss 4""mm",,,,1,,87,,,150,
2152,,,"smt disc ss 5""mm",,,,1,,135,,,180,
2153,,,silicone gun olym,,,,1,,350,,,550,
2154,,,"smt disc premium 4""",,,,1,,770,,,950,
2155,,,"smt disc premium 5""",,,,1,,1230,,,1350,
2156,,,smt hole saw 14mm,,,,1,,196,,,250,
2157,,,smt hole saw 38mm,,,,1,,456,,,580,
2158,,,smt drill machine 6220,,,,1,,8700,,,10500,
2159,,,smt drill machine 6224,,,,1,,10900,,,11900,
2160,,,l key #12 single,,,,1,,330,,,450,
2161,,,"smt grinder 4"" 8521",,,,1,,6000,,,7000,
2162,,,"smt grinder 4"" 8522",,,,1,,6500,,,7500,
2163,,,"smt grinder 4"" 8523",,,,1,,7500,,,8500,
2164,,,"smt grinder 5"" 8525",,,,1,,7200,,,8200,
2165,,,"smt grinder 5"" 8524-B",,,,1,,8200,,,9200,
2166,,,"smt grinder 7"" 8317",,,,1,,12100,,,13500,
2167,,,thinner pound,,,,1,,180,,,280,
2168,,,thinner Qtr,,,,1,,490,,,700,
2169,,,thinner galon,,,,1,,1500,,,1950,
2170,,,wood laquer Qtr.,,,,1,,750,,,900,
2171,,,wood sealer Qtr.,,,,1,,880,,,1150,
2172,,,elfy varnish Qtr.,,,,1,,590,,,850,
2173,,,paint ruler texture,,,,1,,450,,,750,
2174,,,male female (H),,,,1,,144,,,200,
2175,,,factor tube 40w double,,,,1,,1140,,,1700,
2176,,,paint remover,,,,1,,790,,,980,
2177,,,paint ruler tray,,,,1,,200,,,350,
2178,,,paint ruler stick 2mtr,,,,1,,290,,,550,
2241,,,"nut bolt 3/8 x 3"" (galv.)",,,,1,,29,,,60,
2242,,,"nut bolt 3/8 x 4"" (galv.)",,,,1,,37,,,70,
2243,,,"nut bolt 1/2 x 1"" (galv.)",,,,1,,28,,,50,
2244,,,"nut bolt 1/2 x 1-1/2"" (galv.)",,,,1,,30,,,60,
2245,,,"nut bolt 1/2 x 2"" (galv.)",,,,1,,40,,,70,
2246,,,"nut bolt 1/2 x 3"" (galv.)",,,,1,,60,,,90,
2247,,,"nut bolt 1/2 x 4"" (galv.)",,,,1,,70,,,100,
2248,,,"nut bolt 5/16 x 4"" (galv.)",,,,1,,22,,,50,
2249,,,"plastic pipe 18"" ss",,,,1,,100,,,300,
2250,,,"plastic pipe 24"" ss",,,,1,,120,,,350,
2251,,,plastic pipe 1 meter ss,,,,1,,110,,,400,
2252,,,combination spaner 8mm,,,,1,,120,,,200,
2253,,,combination spaner 9mm,,,,1,,130,,,210,
2254,,,combination spaner 10mm,,,,1,,130,,,190,
2255,,,combination spaner 11mm,,,,1,,130,,,200,
2256,,,combination spaner 12mm,,,,1,,150,,,210,
2257,,,combination spaner 13mm,,,,1,,150,,,210,
2258,,,combination spaner 14mm,,,,1,,165,,,230,
2259,,,combination spaner 15mm,,,,1,,185,,,250,
2260,,,combination spaner 16mm,,,,1,,270,,,350,
2261,,,combination spaner 17mm,,,,1,,235,,,360,
2262,,,combination spaner 18mm,,,,1,,330,,,450,
2263,,,combination spaner 19mm,,,,1,,340,,,480,
2264,,,y tee pana small,,,,1,,180,,,380,
2265,,,"ac aero flex 3/4""",,,,1,,160,,,250,
2266,,,l key single long,,,,1,,84,,,150,
2267,,,parda latoo (s),,,,1,,80,,,150,
2268,,,"drill warma 12mm (hilti) 18""",,,,1,,350,,,550,
2269,,,crome bracket chadri,,,,1,,50,,,100,
2270,,,ari frame (H),,,,1,,450,,,650,
1318,,,head crome (super asia),,,,1,,75,,,300,
1319,,,extention 818 (m),,,,1,,190,,,450,
1320,,,2 core 3/29 (coper) 6.320,,,,1,,92.5,,,150,
1321,,,2 core 7/29 (coper) 6.430,,,,1,,115,,,200,
1322,,,ac cable 70/76 (2 core) 8.780,,,,1,,119.318,,,250,
1323,,,motor fan ,,,,1,,100,,,250,
1324,,,PU foam 500ml,,,,1,,580,,,750,
1325,,,"Ha exaust 8""(plastic)",,,,1,,2850,,,3600,
1326,,,"Ha exaust 10""(plastic)",,,,1,,2680,,,3800,
1327,,,"Ha exaust 10""(metal)",,,,1,,2350,,,4000,
1328,,,"Ha exaust 12""(metal)",,,,1,,2250,,,4200,
1329,,,missile motor box,,,,1,,1550,,,2500,
1330,,,"loose screw 2-1/2"" dzn.",,,,1,,50,,,120,
1331,,,"pedistal fan 24""",,,,1,,7600,,,10500,
1332,,,"jali exaust 13"" wood",,,,1,,350,,,550,
1333,,,cable rg-6,,,,1,,1120,,,1650,
1334,,,cable rg-7,,,,1,,1320,,,1800,
1335,,,hob steel choras,,,,1,,7500,,,9500,
1336,,,"warma 13mm (hilti) 6""",,,,1,,130,,,220,
1337,,,goti rod small,,,,1,,200,,,450,
1338,,,goti rod big,,,,1,,300,,,600,
1339,,,chabi 6-7 mm,,,,1,,110,,,160,
1340,,,chabi 8-9 mm,,,,1,,115,,,170,
1341,,,chabi 10-11 mm,,,,1,,130,,,200,
1342,,,chabi 12-13 mm,,,,1,,150,,,230,
1343,,,chabi 14-15 mm,,,,1,,200,,,280,
1344,,,hob shisha degi jali,,,,1,,9500,,,12500,
1345,,,hob shisha injector burner,,,,1,,8500,,,11500,
1346,,,element 4000 w,,,,1,,100,,,180,
1347,,,element 5000 w,,,,1,,140,,,200,
1348,,,lock cylender small (brass),,,,1,,400,,,550,
1510,,,bib cock turkey,,,,1,,92,,,250,
1511,,,spindal goti ,,,,1,,38,,,130,
1512,,,air coolar (T set),,,,1,,50,,,180,
1513,,,smt anti rust wd 40,,,,1,,410,,,600,
1514,,,"self screw 1/2""x8",,,,1,,218,,,260,
1515,,,"self screw 5/8""x8",,,,1,,252,,,300,
1516,,,"self screw 3/4""x8",,,,1,,275,,,350,
1517,,,"self screw 1""x8",,,,1,,332,,,390,
1518,,,"self screw 1-1/4""x8",,,,1,,398,,,490,
1519,,,"self screw 1-1/2""x8",,,,1,,450,,,550,
1520,,,branji nail pkt,,,,1,,399,,,480,
1521,,,MT pad lock 30mm,,,,1,,366,,,550,
1522,,,MT pad lock 40mm,,,,1,,555.75,,,800,
1523,,,MT pad lock 50mm,,,,1,,712.5,,,1000,
1524,,,MT wire lock 12mm,,,,1,,845,,,1300,
1525,,,magnet catcher (B),,,,1,,45,,,60,
1526,,,magnet catcher (S),,,,1,,26,,,50,
1527,,,schneider breaker 10amp ,,,,1,,400,,,600,
1528,,,kitchen hinges 3D(1 daba),,,,1,,150,,,200,
1529,,,board plastic 6p,,,,1,,300,,,550,
1530,,,"smt disc stone disc 9""",,,,1,,270,,,350,
1531,,,blower olympia - 501,,,,1,,3200,,,3800,
1532,,,shoe 3pin light exelent,,,,1,,138,,,200,
1533,,,led tube 40w (double) 2 feet,,,,1,,650,,,1000,
1534,,,"jali degi 6"" ",,,,1,,450,,,750,
1535,,,"jali degi 9""",,,,1,,950,,,1500,
1536,,,"man hole 24"" (degi ICIE)",,,,1,,5500,,,8000,
1537,,,"man hole 24"" (degi AMF)",,,,1,,7500,,,9500,
1538,,,"man hole 12"" (degi ICIE)",,,,1,,1315,,,2000,
1539,,,"jali degi 12""",,,,1,,1335,,,1850,
1540,,,"man hole 15"" (degi ICIE)",,,,1,,2400,,,3500,
1792,,,"l koni 1-1/2"" N",,,,1,,4.9,,,15,
1793,,,"l koni 2"" N",,,,1,,6.6,,,20,
1794,,,china tee cock (double),,,,1,,310,,,600,
1795,,,spindal screw ss,,,,1,,6,,,10,
1796,,,battery water,,,,1,,80,,,150,
1797,,,tel dabi,,,,1,,45,,,120,
1798,,,"ktc ball valve 3/4""",,,,1,,1288,,,1590,
1799,,,"gi nipple 1/4""",,,,1,,20,,,60,
1800,,,"parda pipe 1"" GT",,,,1,,550,,,900,
1801,,,schneider breaker 16amp ,,,,1,,400,,,650,
1802,,,schneider breaker 20amp ,,,,1,,400,,,650,
1803,,,"diamond master man hole 12"" steel",,,,1,,950,,,1500,
1804,,,"diamond master man hole 15"" (steel)",,,,1,,1000,,,2100,
1805,,,"diamond master man hole 18"" (steel)",,,,1,,1950,,,2800,
1806,,,"diamond master man hole 24""(steel)",,,,1,,4350,,,5500,
1807,,,"Mt plier 8""",,,,1,,705,,,1200,
1808,,,"gi pipe 1/2"" IIL",,,,1,,2550,,,3000,
1809,,,"gi pipe 3/4"" IIL",,,,1,,3800,,,4500,
1810,,,"gi pipe 1"" IIL",,,,1,,4613,,,5800,
1811,,,rat killer,,,,1,,80,,,150,
1812,,,fly killer makhi,,,,1,,120,,,200,
1813,,,"binding tape 1-1/2"" (5 yrd.)",,,,1,,90,,,250,
1814,,,gas machine (N),,,,1,,950,,,1350,
1815,,,"drill warma 20mm (hilti) 6""",,,,1,,250,,,400,
1816,,,RGB bulb,,,,1,,240,,,500,
1817,,,pad lock desi,,,,1,,500,,,800,
1818,,,"binding tape (1-1/2"" 20 yrd.)",,,,1,,185,,,450,
1819,,,glint,,,,1,,200,,,250,
1820,,,wood proofer ,,,,1,,425,,,500,
1821,,,WiFi plug,,,,1,,2350,,,3500,
1822,,,smd 8w,,,,1,,100,,,220,
1823,,,sea star SBR 1ltr.(LITE),,,,1,,360,,,600,
1856,,,"tower bolt 6"" brass",,,,1,,360,,,480,
1857,,,"tower bolt 8"" brass",,,,1,,480,,,650,
1858,,,ppr cutter (H),,,,1,,1000,,,1250,
1859,,,duct 40x40 accufit,,,,1,,609.12,,,980,
1860,,,"draz lock 1"" (H)",,,,1,,245.8333,,,350,
1861,,,"draz lock 1-1/4"" (H)",,,,1,,170,,,380,
1862,,,"draz lock 1-1/2"" (H)",,,,1,,284,,,400,
1863,,,aluminium latch,,,,1,,80,,,150,
1864,,,hi tech geyser 35g dual (Heavy Duty),,,,1,,40000,,,50000,
1865,,,battery 4v 4amp,,,,1,,1000,,,1250,
1866,,,"ktz ball valve 1/2"" ss",,,,1,,380,,,600,
1867,,,"handle 10""",,,,1,,250,,,950,
1868,,,polish color,,,,1,,110,,,150,
1869,,,"handle 12""",,,,1,,300,,,1100,
1870,,,imersion rod royal,,,,1,,320,,,600,
1871,,,imersion rod panasonic,,,,1,,260,,,500,
1872,,,sub meter medium,,,,,,1500,,,2500,
1873,,,spindal screw brass,,,,1,,13,,,20,
1874,,,non n1 bp double,,,,1,,289,,,480,
1875,,,"machine screw 1/4 x 1"" loose",,,,1,,5,,,15,
1876,,,hob steel,,,,1,,6150,,,8500,
1877,,,basin mixer electric,,,,1,,3500,,,4500,
1878,,,"km safety sheet 3""",,,,1,,60,,,100,
1879,,,tile qalam,,,,1,,250,,,350,
1880,,,mirror clip square cp,,,,1,,88,,,200,
1881,,,aluminium cylender,,,,1,,380,,,500,
1882,,,parda runer,,,,1,,34,,,80,
1883,,,"l bracket 6"" (H)",,,,1,,150,,,200,
1884,,,"l bracket 8"" (H)",,,,1,,175,,,250,
1885,,,"l bracket 10"" (H)",,,,1,,210,,,300,
1886,,,"l bracket 12"" (H)",,,,1,,225,,,350,
1887,,,castic soda 250grm,,,,1,,100,,,150,
2086,,,"earl draz 12"" medium",,,,1,,290,,,600,
2087,,,ro inlet valve,,,,1,,400,,,700,
2088,,,ro goda nozle ,,,,,,350,,,550,
2089,,,factor 18w adj,,,,1,,420,,,650,
2090,,,"earl draz 8"" heavy",,,,1,,290,,,600,
2091,,,"earl draz 12"" heavy",,,,1,,310,,,650,
2092,,,cable tel 1pair,,,,1,,20,,,50,
2093,,,km 3pin power shoe,,,,1,,200,,,300,
2094,,,hob shisha,,,,1,,8100,,,9500,
2095,,,elfy 50grm (star),,,,1,,220,,,280,
2096,,,exelent lead small,,,,1,,2000,,,3000,
2097,,,exelent lead big,,,,1,,2350,,,3500,
2098,,,filter tee brass,,,,1,,650,,,1200,
2099,,,"gi socket 1-1/2"" x 1-1/4""",,,,1,,313.02,,,450,
2100,,,PU foam 700ml,,,,1,,680,,,950,
2101,,,barfi jali 4',,,,1,,40,,,60,
2102,,,kitchen warma,,,,1,,250,,,450,
2103,,,tinter tube,,,,1,,27,,,40,
2104,,,epoxi set 200ml,,,,1,,420,,,750,
2105,,,epoxi set 500ml,,,,1,,1860,,,2200,
2106,,,"hinges 4"" bearing",,,,1,,320,,,480,
2107,,,"steel paya 3""",,,,1,,75,,,120,
2108,,,"steel paya 4""",,,,1,,90,,,150,
2109,,,star master ceto IFO,,,,1,,7700,,,10500,
2110,,,wall shower rod 4' (H),,,,1,,600,,,1500,
2111,,,cc,,,,1,,0,,,0,
2112,,,door bell wireless (voye),,,,1,,1070,,,1500,
2113,,,welding rod no.12,,,,1,,850,,,900,
2114,,,welding rod no.10 mota,,,,1,,1600,,,1850,
2115,,,scale digital,,,,1,,400,,,700,
2116,,,scale kanda 25kg,,,,1,,425,,,600,
2179,,,paint ruler stick 3mtr,,,,1,,550,,,750,
2180,,,flexible neck folding,,,,1,,280,,,700,
